Item_ID,Item_Category,Item_Price,Units_Sold,Total_Sales,Profit,Profit_Margin,Outlet_Type,Outlet_Size,Region,State,City,City_Tier,Store_Age,Customer_Age_Group,Customer_Gender,Avg_Customer_Spend,Year
BB00021,Grocery,25822,69,1781718,302892.06,17,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 1,13,18-25,Female,4314,2024
BB00022,Home & Kitchen,42532,414,17608248,5810721.84,33,Convenience Store,Small,East,West Bengal,Kolkata,Tier 1,2,26-35,Male,3398,2022
BB00023,Electronics,18022,366,6596052,2308618.2,35,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 2,14,18-25,Male,2990,2022
BB00024,Grocery,39518,281,11104558,1776729.28,16,Supermarket,Large,North,Delhi,New Delhi,Tier 2,9,46+,Male,7985,2024
BB00025,Electronics,31053,463,14377539,3450609.36,24,Supermarket,Medium,North,Delhi,New Delhi,Tier 2,10,18-25,Female,2344,2024
BB00026,Personal Care,6145,467,2869715,803520.2,28,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 3,11,18-25,Female,6223,2023
BB00027,Home & Kitchen,28514,136,3877904,969476.0,25,Supermarket,Small,West,Maharashtra,Mumbai,Tier 3,6,46+,Male,5231,2022
BB00028,Electronics,33606,51,1713906,531310.86,31,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 1,9,26-35,Female,4303,2021
BB00029,Home & Kitchen,20317,464,9427088,2356772.0,25,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,1,26-35,Male,7746,2021
BB00030,Home & Kitchen,47368,59,2794712,670730.88,24,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 2,4,46+,Female,4572,2023
BB00031,Grocery,49649,53,2631397,815733.07,31,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 2,5,46+,Male,1789,2024
BB00032,Home & Kitchen,48275,331,15979025,3355595.25,21,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 2,1,26-35,Female,7860,2021
BB00033,Electronics,23896,65,1553240,403842.4,26,Supermarket,Medium,North,Uttar Pradesh,Noida,Tier 2,8,18-25,Male,1172,2023
BB00034,Electronics,27851,449,12505099,1875764.85,15,Convenience Store,Small,North,Delhi,New Delhi,Tier 2,12,36-45,Male,6529,2023
BB00035,Electronics,23628,403,9522084,1618754.28,17,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 1,14,36-45,Female,6254,2020
BB00036,Home & Kitchen,9088,47,427136,98241.28,23,Convenience Store,Large,North,Delhi,New Delhi,Tier 2,15,46+,Female,2870,2024
BB00037,Home & Kitchen,42970,436,18734920,4683730.0,25,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 3,6,18-25,Male,2610,2021
BB00038,Grocery,17097,81,1384857,276971.4,20,Convenience Store,Large,North,Uttar Pradesh,Noida,Tier 3,3,18-25,Male,7152,2022
BB00039,Clothing,5314,20,106280,35072.4,33,Convenience Store,Large,South,Tamil Nadu,Chennai,Tier 3,1,36-45,Male,7287,2021
BB00040,Grocery,39967,422,16866074,5228482.94,31,Supermarket,Medium,West,Maharashtra,Mumbai,Tier 2,15,18-25,Male,6008,2022
BB00041,Clothing,31262,122,3813964,1334887.4,35,Supermarket,Large,West,Gujarat,Ahmedabad,Tier 2,1,26-35,Male,1839,2022
BB00042,Personal Care,4987,97,483739,77398.24,16,Supermarket,Large,North,Uttar Pradesh,Noida,Tier 1,15,36-45,Male,6298,2020
BB00043,Home & Kitchen,18276,459,8388684,1677736.8,20,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 3,12,36-45,Female,3923,2020
BB00044,Electronics,8350,353,2947550,1031642.5,35,Convenience Store,Small,West,Maharashtra,Pune,Tier 2,11,26-35,Female,5739,2020
BB00045,Personal Care,46514,107,4976998,995399.6,20,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,6,46+,Male,6721,2022
BB00046,Grocery,5680,411,2334480,583620.0,25,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 2,14,26-35,Female,3794,2022
BB00047,Clothing,14686,436,6403096,1792866.88,28,Supermarket,Medium,East,West Bengal,Kolkata,Tier 3,8,46+,Female,6207,2022
BB00048,Grocery,49416,195,9636120,3372642.0,35,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 1,12,36-45,Female,5725,2023
BB00049,Clothing,17610,410,7220100,1660623.0,23,Supermarket,Small,West,Maharashtra,Mumbai,Tier 2,12,46+,Male,2704,2023
BB00050,Clothing,18667,151,2818717,845615.1,30,Convenience Store,Large,East,West Bengal,Kolkata,Tier 1,9,46+,Male,4048,2023
BB00051,Clothing,1637,188,307756,73861.44,24,Convenience Store,Small,North,Uttar Pradesh,Noida,Tier 3,15,26-35,Female,892,2024
BB00052,Clothing,1678,389,652742,182767.76,28,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 2,2,18-25,Female,1334,2021
BB00053,Grocery,15650,419,6557350,2295072.5,35,Supermarket,Large,North,Uttar Pradesh,Noida,Tier 3,3,46+,Male,3593,2020
BB00054,Personal Care,46114,225,10375650,2593912.5,25,Convenience Store,Small,South,Tamil Nadu,Chennai,Tier 1,14,18-25,Male,3194,2023
BB00055,Clothing,10074,91,916734,247518.18,27,Supermarket,Small,West,Maharashtra,Mumbai,Tier 2,6,36-45,Female,5016,2020
BB00056,Grocery,13090,197,2578730,696257.1,27,Supermarket,Medium,North,Uttar Pradesh,Noida,Tier 3,14,26-35,Female,4049,2022
BB00057,Personal Care,4365,298,1300770,195115.5,15,Supermarket,Medium,South,Karnataka,Bangalore,Tier 2,9,36-45,Male,7181,2021
BB00058,Electronics,36143,74,2674582,909357.88,34,Convenience Store,Large,South,Tamil Nadu,Chennai,Tier 2,7,18-25,Female,5545,2020
BB00059,Clothing,48317,45,2174265,587051.55,27,Supermarket,Small,North,Uttar Pradesh,Noida,Tier 1,3,36-45,Male,2057,2024
BB00060,Personal Care,46364,286,13260104,4375834.32,33,Supermarket,Medium,South,Karnataka,Bangalore,Tier 1,6,36-45,Male,7344,2021
BB00061,Personal Care,33750,152,5130000,769500.0,15,Supermarket,Small,East,Odisha,Bhubaneswar,Tier 2,9,36-45,Female,7542,2022
BB00062,Grocery,17584,444,7807296,2498334.72,32,Supermarket,Medium,West,Gujarat,Ahmedabad,Tier 1,5,36-45,Male,1222,2024
BB00063,Grocery,27742,117,3245814,876369.78,27,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 1,10,36-45,Female,5429,2024
BB00064,Personal Care,37953,436,16547508,3971401.92,24,Convenience Store,Medium,South,Karnataka,Bangalore,Tier 1,13,18-25,Female,7232,2024
BB00065,Grocery,14372,427,6136844,2025158.52,33,Supermarket,Large,West,Maharashtra,Pune,Tier 1,1,46+,Male,6253,2022
BB00066,Home & Kitchen,28793,477,13734261,4806991.35,35,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 3,9,46+,Male,7055,2023
BB00067,Personal Care,19428,415,8062620,2741290.8,34,Supermarket,Large,North,Delhi,New Delhi,Tier 2,10,46+,Male,824,2024
BB00068,Grocery,23603,338,7977814,1595562.8,20,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 2,6,46+,Male,3217,2022
BB00069,Electronics,7095,422,2994090,479054.4,16,Supermarket,Large,East,West Bengal,Kolkata,Tier 3,6,46+,Female,6865,2022
BB00070,Grocery,6478,90,583020,192396.6,33,Convenience Store,Small,North,Uttar Pradesh,Noida,Tier 2,14,26-35,Female,2803,2021
BB00071,Personal Care,6877,391,2688907,726004.89,27,Convenience Store,Small,East,West Bengal,Kolkata,Tier 3,14,46+,Female,3505,2021
BB00072,Home & Kitchen,7021,58,407218,118093.22,29,Supermarket,Medium,South,Karnataka,Bangalore,Tier 1,7,36-45,Male,1142,2024
BB00073,Grocery,7573,433,3279109,754195.07,23,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 1,13,18-25,Female,6901,2024
BB00074,Clothing,36063,444,16011972,4803591.6,30,Convenience Store,Large,South,Karnataka,Bangalore,Tier 1,2,26-35,Female,7879,2021
BB00075,Grocery,40848,238,9721824,2819328.96,29,Supermarket,Medium,East,West Bengal,Kolkata,Tier 1,6,36-45,Male,7680,2024
BB00076,Grocery,33550,199,6676450,1602348.0,24,Convenience Store,Small,South,Karnataka,Bangalore,Tier 3,3,18-25,Male,7187,2021
BB00077,Grocery,30711,170,5220870,1514052.3,29,Convenience Store,Small,North,Uttar Pradesh,Noida,Tier 3,15,18-25,Female,5558,2024
BB00078,Home & Kitchen,40254,314,12639756,3159939.0,25,Supermarket,Large,North,Uttar Pradesh,Lucknow,Tier 2,12,36-45,Female,1198,2024
BB00079,Electronics,9227,129,1190283,190445.28,16,Supermarket,Large,West,Maharashtra,Pune,Tier 3,10,26-35,Female,7147,2021
BB00080,Clothing,45572,455,20735260,3110289.0,15,Convenience Store,Large,North,Delhi,New Delhi,Tier 2,8,26-35,Female,4561,2020
BB00081,Home & Kitchen,5647,94,530818,148629.04,28,Convenience Store,Medium,North,Uttar Pradesh,Lucknow,Tier 2,13,46+,Male,4690,2022
BB00082,Home & Kitchen,30581,40,1223240,391436.8,32,Supermarket,Large,North,Uttar Pradesh,Lucknow,Tier 1,3,18-25,Male,3955,2024
BB00083,Clothing,33886,388,13147768,4338763.44,33,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 2,14,46+,Male,1937,2024
BB00084,Electronics,23654,443,10478722,1990957.18,19,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 2,10,18-25,Female,1991,2024
BB00085,Grocery,16996,300,5098800,815808.0,16,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 2,13,26-35,Male,1772,2021
BB00086,Grocery,15131,439,6642509,1793477.43,27,Supermarket,Medium,South,Karnataka,Bangalore,Tier 2,3,18-25,Female,6365,2021
BB00087,Grocery,3901,275,1072775,171644.0,16,Supermarket,Large,North,Delhi,New Delhi,Tier 2,15,36-45,Male,5093,2022
BB00088,Personal Care,14628,351,5134428,1180918.44,23,Convenience Store,Medium,South,Karnataka,Bangalore,Tier 2,14,18-25,Male,2875,2021
BB00089,Grocery,31520,475,14972000,3593280.0,24,Convenience Store,Medium,North,Uttar Pradesh,Noida,Tier 1,7,36-45,Female,7496,2020
BB00090,Personal Care,29213,210,6134730,1901766.3,31,Convenience Store,Small,South,Karnataka,Bangalore,Tier 2,2,18-25,Male,4296,2021
BB00091,Electronics,26961,395,10649595,3620862.3,34,Convenience Store,Large,North,Delhi,New Delhi,Tier 2,8,36-45,Male,4277,2024
BB00092,Clothing,31490,18,566820,124700.4,22,Supermarket,Large,West,Maharashtra,Mumbai,Tier 3,7,26-35,Female,7582,2024
BB00093,Clothing,816,339,276624,91285.92,33,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 3,13,18-25,Male,5320,2021
BB00094,Personal Care,44224,237,10481088,2934704.64,28,Supermarket,Small,East,Odisha,Bhubaneswar,Tier 1,3,46+,Male,7052,2023
BB00095,Electronics,5908,42,248136,69478.08,28,Supermarket,Medium,North,Delhi,New Delhi,Tier 1,5,36-45,Female,6730,2021
BB00096,Grocery,34158,303,10349874,2690967.24,26,Supermarket,Large,West,Maharashtra,Mumbai,Tier 2,10,46+,Female,7728,2023
BB00097,Grocery,2390,453,1082670,194880.6,18,Convenience Store,Medium,South,Karnataka,Bangalore,Tier 2,7,46+,Female,6960,2021
BB00098,Grocery,28921,16,462736,106429.28,23,Supermarket,Large,West,Maharashtra,Pune,Tier 3,15,36-45,Female,1922,2022
BB00099,Electronics,34172,303,10354116,1863740.88,18,Supermarket,Large,North,Delhi,New Delhi,Tier 1,14,26-35,Male,3170,2022
BB00100,Electronics,45498,63,2866374,544611.06,19,Supermarket,Medium,East,West Bengal,Kolkata,Tier 3,9,36-45,Female,5557,2020
BB00101,Electronics,37503,446,16726338,2676214.08,16,Convenience Store,Medium,North,Uttar Pradesh,Noida,Tier 1,11,36-45,Female,5234,2021
BB00102,Grocery,12806,474,6070044,910506.6,15,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,4,26-35,Female,655,2022
BB00103,Electronics,46804,460,21529840,5167161.6,24,Convenience Store,Large,South,Karnataka,Bangalore,Tier 1,2,36-45,Male,1357,2023
BB00104,Home & Kitchen,31311,468,14653548,4982206.32,34,Supermarket,Small,West,Gujarat,Ahmedabad,Tier 3,15,46+,Female,5135,2024
BB00105,Grocery,3577,458,1638266,409566.5,25,Convenience Store,Large,South,Tamil Nadu,Chennai,Tier 3,7,26-35,Male,3260,2022
BB00106,Clothing,36016,337,12137392,4126713.28,34,Convenience Store,Large,West,Maharashtra,Pune,Tier 3,13,18-25,Female,2748,2024
BB00107,Clothing,43710,406,17746260,3904177.2,22,Supermarket,Large,East,West Bengal,Kolkata,Tier 2,2,46+,Female,5563,2024
BB00108,Home & Kitchen,18065,252,4552380,682857.0,15,Convenience Store,Medium,West,Maharashtra,Pune,Tier 1,15,26-35,Male,3593,2022
BB00109,Electronics,23670,280,6627600,1789452.0,27,Supermarket,Small,East,Odisha,Bhubaneswar,Tier 3,7,36-45,Male,4555,2021
BB00110,Electronics,21106,28,590968,206838.8,35,Supermarket,Large,South,Karnataka,Bangalore,Tier 3,8,18-25,Male,2629,2023
BB00111,Grocery,39986,203,8117158,2678662.14,33,Convenience Store,Large,North,Uttar Pradesh,Lucknow,Tier 2,14,18-25,Male,6842,2021
BB00112,Clothing,36142,277,10011334,3203626.88,32,Supermarket,Medium,North,Delhi,New Delhi,Tier 3,2,26-35,Female,1641,2021
BB00113,Home & Kitchen,41727,492,20529684,6774795.72,33,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 1,4,46+,Female,4581,2020
BB00114,Clothing,24429,241,5887389,1589595.03,27,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 1,6,26-35,Male,4577,2021
BB00115,Personal Care,12528,323,4046544,1416290.4,35,Convenience Store,Large,South,Tamil Nadu,Chennai,Tier 1,12,26-35,Male,6763,2023
BB00116,Grocery,41164,300,12349200,2840316.0,23,Convenience Store,Large,West,Maharashtra,Pune,Tier 2,3,36-45,Male,701,2022
BB00117,Home & Kitchen,12545,237,2973165,802754.55,27,Supermarket,Medium,East,West Bengal,Kolkata,Tier 2,6,36-45,Female,7148,2021
BB00118,Personal Care,17121,81,1386801,402172.29,29,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 3,15,36-45,Male,5597,2024
BB00119,Electronics,43122,460,19836120,6744280.8,34,Convenience Store,Small,North,Delhi,New Delhi,Tier 1,14,18-25,Male,1626,2022
BB00120,Grocery,48446,79,3827234,1071625.52,28,Convenience Store,Large,South,Karnataka,Bangalore,Tier 2,12,46+,Female,6171,2023
BB00121,Clothing,15812,430,6799160,2379706.0,35,Supermarket,Medium,North,Uttar Pradesh,Lucknow,Tier 1,14,36-45,Male,1180,2022
BB00122,Home & Kitchen,2871,148,424908,63736.2,15,Supermarket,Small,South,Tamil Nadu,Chennai,Tier 1,6,18-25,Male,2978,2020
BB00123,Home & Kitchen,19154,196,3754184,563127.6,15,Supermarket,Medium,South,Karnataka,Bangalore,Tier 2,9,46+,Male,1619,2021
BB00124,Home & Kitchen,6027,17,102459,27663.93,27,Supermarket,Small,West,Maharashtra,Pune,Tier 2,2,26-35,Female,7590,2021
BB00125,Electronics,33098,341,11286418,2144419.42,19,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 2,7,36-45,Male,4153,2023
BB00126,Electronics,24454,316,7727464,1390943.52,18,Supermarket,Medium,North,Delhi,New Delhi,Tier 3,11,26-35,Female,3536,2023
BB00127,Clothing,43810,471,20634510,6809388.3,33,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 1,4,26-35,Male,2411,2021
BB00128,Grocery,34854,348,12129192,2911006.08,24,Convenience Store,Medium,East,West Bengal,Kolkata,Tier 3,5,26-35,Female,3043,2020
BB00129,Clothing,36189,89,3220821,998454.51,31,Supermarket,Medium,West,Gujarat,Ahmedabad,Tier 1,10,46+,Female,5556,2022
BB00130,Home & Kitchen,30593,470,14378710,4169825.9,29,Supermarket,Medium,West,Maharashtra,Mumbai,Tier 1,6,36-45,Female,5161,2020
BB00131,Electronics,42171,474,19989054,4997263.5,25,Convenience Store,Large,South,Karnataka,Bangalore,Tier 2,3,18-25,Male,1044,2020
BB00132,Grocery,38858,291,11307678,2939996.28,26,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 2,8,26-35,Female,6845,2021
BB00133,Grocery,38820,120,4658400,1024848.0,22,Supermarket,Small,West,Maharashtra,Pune,Tier 1,12,18-25,Female,5123,2023
BB00134,Clothing,30969,149,4614381,1338170.49,29,Convenience Store,Medium,North,Uttar Pradesh,Lucknow,Tier 3,5,36-45,Male,5869,2024
BB00135,Electronics,21932,485,10637020,3403846.4,32,Convenience Store,Large,South,Tamil Nadu,Chennai,Tier 3,3,46+,Female,7482,2023
BB00136,Grocery,47829,270,12913830,3745010.7,29,Convenience Store,Large,East,West Bengal,Kolkata,Tier 2,7,26-35,Male,3736,2022
BB00137,Clothing,9898,96,950208,142531.2,15,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 2,8,26-35,Male,3639,2024
BB00138,Home & Kitchen,24843,233,5788419,1504988.94,26,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,1,18-25,Female,2726,2024
BB00139,Grocery,33465,111,3714615,1002946.05,27,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 2,4,36-45,Female,1980,2023
BB00140,Personal Care,26538,470,12472860,4240772.4,34,Supermarket,Large,East,West Bengal,Kolkata,Tier 1,12,46+,Female,3562,2021
BB00141,Clothing,12559,81,1017279,356047.65,35,Supermarket,Large,East,West Bengal,Kolkata,Tier 1,15,46+,Male,5034,2020
BB00142,Clothing,3633,25,90825,17256.75,19,Convenience Store,Large,South,Karnataka,Bangalore,Tier 3,6,36-45,Female,5291,2023
BB00143,Electronics,44912,36,1616832,533554.56,33,Convenience Store,Small,South,Karnataka,Bangalore,Tier 1,13,46+,Male,4257,2020
BB00144,Personal Care,11565,301,3481065,522159.75,15,Supermarket,Small,South,Tamil Nadu,Chennai,Tier 1,8,36-45,Male,4512,2023
BB00145,Grocery,30817,321,9892257,3363367.38,34,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,14,26-35,Female,940,2022
BB00146,Personal Care,25440,67,1704480,579523.2,34,Convenience Store,Medium,East,Odisha,Bhubaneswar,Tier 1,3,18-25,Female,2815,2022
BB00147,Home & Kitchen,33995,221,7512895,2103610.6,28,Supermarket,Small,South,Karnataka,Bangalore,Tier 2,5,46+,Female,3886,2023
BB00148,Electronics,18322,497,9106034,2913930.88,32,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 2,14,18-25,Male,3492,2022
BB00149,Electronics,19522,381,7437882,2305743.42,31,Convenience Store,Small,East,West Bengal,Kolkata,Tier 2,10,18-25,Male,3494,2020
BB00150,Home & Kitchen,17333,306,5303898,1272935.52,24,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 3,10,46+,Female,7491,2021
BB00151,Home & Kitchen,40439,204,8249556,1567415.64,19,Supermarket,Small,South,Tamil Nadu,Chennai,Tier 3,9,46+,Female,716,2023
BB00152,Electronics,33948,22,746856,238993.92,32,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 1,13,26-35,Male,6557,2020
BB00153,Home & Kitchen,42308,189,7996212,1359356.04,17,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,6,46+,Female,2841,2021
BB00154,Grocery,35660,379,13515140,2973330.8,22,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 1,2,36-45,Female,2488,2021
BB00155,Personal Care,6250,316,1975000,474000.0,24,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 3,4,36-45,Male,1873,2022
BB00156,Electronics,47530,220,10456600,2195886.0,21,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 3,10,18-25,Male,3507,2020
BB00157,Grocery,17420,15,261300,57486.0,22,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 2,4,36-45,Female,542,2022
BB00158,Electronics,21700,201,4361700,872340.0,20,Supermarket,Large,West,Gujarat,Ahmedabad,Tier 1,5,18-25,Male,5772,2020
BB00159,Grocery,13957,429,5987553,1975892.49,33,Supermarket,Large,South,Karnataka,Bangalore,Tier 2,14,18-25,Male,6785,2022
BB00160,Grocery,42994,35,1504790,376197.5,25,Convenience Store,Small,North,Uttar Pradesh,Noida,Tier 3,1,18-25,Female,4842,2020
BB00161,Clothing,28033,379,10624507,1912411.26,18,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 3,6,18-25,Female,1466,2021
BB00162,Electronics,33719,340,11464460,3668627.2,32,Convenience Store,Large,East,West Bengal,Kolkata,Tier 1,10,26-35,Male,2112,2023
BB00163,Grocery,7687,266,2044742,613422.6,30,Convenience Store,Small,West,Maharashtra,Mumbai,Tier 2,3,36-45,Male,3048,2024
BB00164,Home & Kitchen,13661,458,6256738,2189858.3,35,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 2,10,18-25,Male,3051,2023
BB00165,Personal Care,10844,468,5074992,913498.56,18,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 1,1,18-25,Male,1335,2020
BB00166,Personal Care,443,91,40313,7659.47,19,Supermarket,Large,North,Uttar Pradesh,Noida,Tier 2,7,36-45,Male,5100,2024
BB00167,Personal Care,26986,445,12008770,2161578.6,18,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 2,1,46+,Male,3098,2024
BB00168,Clothing,2125,418,888250,151002.5,17,Supermarket,Large,South,Tamil Nadu,Chennai,Tier 3,5,18-25,Female,579,2022
BB00169,Clothing,35557,255,9067035,2901451.2,32,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 2,2,46+,Female,982,2020
BB00170,Personal Care,25131,64,1608384,321676.8,20,Supermarket,Small,West,Maharashtra,Pune,Tier 2,9,36-45,Male,1754,2024
BB00171,Electronics,42041,221,9291061,2880228.91,31,Supermarket,Large,North,Delhi,New Delhi,Tier 3,1,36-45,Male,4134,2023
BB00172,Home & Kitchen,49476,164,8114064,2353078.56,29,Supermarket,Large,North,Uttar Pradesh,Lucknow,Tier 3,14,26-35,Female,975,2020
BB00173,Grocery,582,408,237456,45116.64,19,Convenience Store,Small,North,Delhi,New Delhi,Tier 1,3,18-25,Female,1973,2024
BB00174,Home & Kitchen,32775,205,6718875,1410963.75,21,Convenience Store,Medium,East,Odisha,Bhubaneswar,Tier 3,1,26-35,Female,1781,2022
BB00175,Personal Care,38070,253,9631710,1733707.8,18,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 1,10,26-35,Female,1546,2024
BB00176,Clothing,16710,108,1804680,613591.2,34,Convenience Store,Large,North,Delhi,New Delhi,Tier 3,1,26-35,Male,2194,2020
BB00177,Electronics,8307,128,1063296,191393.28,18,Supermarket,Small,North,Delhi,New Delhi,Tier 2,7,18-25,Male,5668,2022
BB00178,Personal Care,6411,390,2500290,450052.2,18,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 1,10,36-45,Female,6192,2023
BB00179,Clothing,31854,70,2229780,401360.4,18,Convenience Store,Small,East,West Bengal,Kolkata,Tier 2,10,18-25,Male,4838,2020
BB00180,Grocery,48245,194,9359530,2527073.1,27,Convenience Store,Large,North,Uttar Pradesh,Lucknow,Tier 1,8,36-45,Female,7682,2021
BB00181,Home & Kitchen,30426,480,14604480,2482761.6,17,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 3,7,26-35,Female,1266,2022
BB00182,Clothing,27351,285,7795035,2338510.5,30,Convenience Store,Large,East,West Bengal,Kolkata,Tier 1,2,26-35,Female,5201,2024
BB00183,Clothing,42714,29,1238706,359224.74,29,Convenience Store,Medium,East,Odisha,Bhubaneswar,Tier 3,11,36-45,Male,1422,2021
BB00184,Grocery,10904,205,2235320,782362.0,35,Supermarket,Small,South,Tamil Nadu,Chennai,Tier 1,15,36-45,Male,5979,2022
BB00185,Clothing,8066,151,1217966,341030.48,28,Convenience Store,Small,South,Karnataka,Bangalore,Tier 1,4,36-45,Male,1262,2024
BB00186,Home & Kitchen,26815,230,6167450,1850235.0,30,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 1,6,26-35,Female,2695,2020
BB00187,Personal Care,39793,481,19140433,3253873.61,17,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 2,11,18-25,Male,3420,2024
BB00188,Electronics,16463,13,214019,34243.04,16,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 1,11,18-25,Female,4654,2021
