Item_ID,Item_Category,Item_Price,Units_Sold,Total_Sales,Profit,Outlet_Type,Outlet_Size,Region,State,City,City_Tier,Store_Age,Customer_Age_Group,Year
BB00125,Electronics,1304,52,67808,12205.44,Supermarket,Large,West,Gujarat,Ahmedabad,Tier 2,11,18-25,2024
BB00126,Home & Kitchen,1486,11,16346,1961.52,Hypermarket,Medium,East,West Bengal,Kolkata,Tier 1,8,26-35,2024
BB00127,Grocery,4935,76,375060,30004.8,Supermarket,Small,North,Delhi,New Delhi,Tier 3,9,18-25,2021
BB00128,Personal Care,3368,64,215552,43110.4,Convenience Store,Medium,West,Gujarat,Surat,Tier 2,3,36-45,2022
BB00129,Electronics,2870,110,315700,56826.0,Convenience Store,Large,South,Telangana,Hyderabad,Tier 1,3,36-45,2020
BB00130,Clothing,4401,92,404892,60733.8,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 1,11,18-25,2022
BB00131,Personal Care,303,55,16665,3333.0,Convenience Store,Small,South,Telangana,Hyderabad,Tier 1,14,26-35,2020
BB00132,Home & Kitchen,191,104,19864,2383.68,Supermarket,Small,East,Odisha,Cuttack,Tier 3,9,18-25,2023
BB00133,Electronics,3812,87,331644,59695.92,Convenience Store,Small,East,West Bengal,Kolkata,Tier 1,7,26-35,2022
BB00134,Electronics,3253,26,84578,15224.04,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 1,6,18-25,2024
BB00135,Clothing,3042,17,51714,7757.1,Supermarket,Small,South,Telangana,Hyderabad,Tier 1,10,36-45,2024
BB00136,Clothing,1766,81,143046,21456.9,Hypermarket,Large,West,Maharashtra,Nagpur,Tier 3,6,36-45,2023
BB00137,Clothing,1249,92,114908,17236.2,Hypermarket,Medium,South,Tamil Nadu,Chennai,Tier 1,2,36-45,2022
BB00138,Grocery,630,26,16380,1310.4,Supermarket,Medium,West,Gujarat,Ahmedabad,Tier 2,15,46+,2024
BB00139,Clothing,1787,20,35740,5361.0,Supermarket,Medium,North,Delhi,New Delhi,Tier 3,8,18-25,2020
BB00140,Grocery,3230,39,125970,10077.6,Hypermarket,Small,South,Tamil Nadu,Coimbatore,Tier 2,15,46+,2020
BB00141,Electronics,3954,65,257010,46261.8,Supermarket,Small,West,Maharashtra,Pune,Tier 2,8,26-35,2020
BB00142,Electronics,2615,118,308570,55542.6,Supermarket,Medium,North,Haryana,Gurgaon,Tier 3,13,18-25,2020
BB00143,Grocery,2287,88,201256,16100.48,Hypermarket,Medium,East,Odisha,Bhubaneswar,Tier 3,9,18-25,2022
BB00144,Personal Care,2876,106,304856,60971.2,Hypermarket,Medium,North,Punjab,Amritsar,Tier 3,12,18-25,2020
BB00145,Electronics,3295,103,339385,61089.3,Hypermarket,Large,West,Maharashtra,Nagpur,Tier 3,7,18-25,2023
BB00146,Clothing,3063,87,266481,39972.15,Supermarket,Large,South,Telangana,Hyderabad,Tier 1,5,46+,2021
BB00147,Clothing,1410,43,60630,9094.5,Hypermarket,Small,West,Maharashtra,Mumbai,Tier 1,5,46+,2023
BB00148,Grocery,3775,91,343525,27482.0,Hypermarket,Small,East,West Bengal,Durgapur,Tier 3,1,26-35,2024
BB00149,Electronics,3779,26,98254,17685.72,Hypermarket,Large,West,Gujarat,Ahmedabad,Tier 2,7,26-35,2021
BB00150,Clothing,4752,88,418176,62726.4,Supermarket,Large,West,Gujarat,Ahmedabad,Tier 2,15,18-25,2021
BB00151,Personal Care,2901,71,205971,41194.2,Supermarket,Medium,East,West Bengal,Durgapur,Tier 3,4,18-25,2024
BB00152,Grocery,3084,114,351576,28126.08,Convenience Store,Medium,North,Delhi,New Delhi,Tier 3,13,18-25,2020
BB00153,Electronics,4284,95,406980,73256.4,Supermarket,Small,West,Gujarat,Surat,Tier 2,3,26-35,2024
BB00154,Electronics,3414,57,194598,35027.64,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,5,18-25,2022
BB00155,Personal Care,1871,114,213294,42658.8,Convenience Store,Medium,North,Punjab,Amritsar,Tier 3,5,18-25,2021
BB00156,Personal Care,4224,2,8448,1689.6,Supermarket,Medium,East,West Bengal,Kolkata,Tier 1,11,18-25,2021
BB00157,Home & Kitchen,2763,117,323271,38792.52,Hypermarket,Large,North,Delhi,New Delhi,Tier 3,11,26-35,2023
BB00158,Clothing,4663,77,359051,53857.65,Convenience Store,Small,South,Telangana,Hyderabad,Tier 1,9,46+,2021
BB00159,Clothing,1868,111,207348,31102.2,Supermarket,Medium,East,West Bengal,Kolkata,Tier 1,8,36-45,2023
BB00160,Electronics,1578,112,176736,31812.48,Supermarket,Medium,North,Delhi,New Delhi,Tier 3,1,18-25,2021
BB00161,Home & Kitchen,1719,55,94545,11345.4,Hypermarket,Large,East,Odisha,Cuttack,Tier 3,10,46+,2020
BB00162,Clothing,1679,66,110814,16622.1,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 3,10,26-35,2021
BB00163,Clothing,2908,30,87240,13086.0,Supermarket,Small,North,Haryana,Gurgaon,Tier 3,15,26-35,2024
BB00164,Grocery,2316,88,203808,16304.64,Hypermarket,Large,South,Telangana,Hyderabad,Tier 1,15,26-35,2024
BB00165,Personal Care,580,61,35380,7076.0,Hypermarket,Small,North,Punjab,Amritsar,Tier 3,14,36-45,2024
BB00166,Grocery,4322,114,492708,39416.64,Supermarket,Large,East,West Bengal,Durgapur,Tier 3,4,46+,2021
BB00167,Personal Care,574,28,16072,3214.4,Hypermarket,Medium,West,Maharashtra,Pune,Tier 2,7,46+,2021
BB00168,Grocery,4737,113,535281,42822.48,Supermarket,Large,North,Haryana,Faridabad,Tier 3,6,18-25,2022
BB00169,Clothing,1561,112,174832,26224.8,Supermarket,Large,North,Delhi,New Delhi,Tier 3,5,36-45,2023
BB00170,Home & Kitchen,611,100,61100,7332.0,Supermarket,Large,South,Telangana,Hyderabad,Tier 1,9,46+,2022
BB00171,Home & Kitchen,2520,18,45360,5443.2,Supermarket,Large,East,Odisha,Cuttack,Tier 3,13,18-25,2024
BB00172,Home & Kitchen,1599,52,83148,9977.76,Hypermarket,Medium,North,Haryana,Gurgaon,Tier 3,14,36-45,2020
BB00173,Personal Care,1682,79,132878,26575.6,Supermarket,Small,South,Karnataka,Mysuru,Tier 3,5,26-35,2022
BB00174,Personal Care,2374,31,73594,14718.8,Convenience Store,Small,North,Haryana,Gurgaon,Tier 3,13,18-25,2020
BB00175,Clothing,2735,25,68375,10256.25,Supermarket,Small,North,Delhi,New Delhi,Tier 3,14,18-25,2021
BB00176,Clothing,3948,34,134232,20134.8,Hypermarket,Small,South,Tamil Nadu,Chennai,Tier 1,13,18-25,2020
BB00177,Clothing,1528,36,55008,8251.2,Convenience Store,Large,South,Karnataka,Mysuru,Tier 3,14,36-45,2024
BB00178,Electronics,197,111,21867,3936.06,Convenience Store,Small,South,Telangana,Hyderabad,Tier 1,14,18-25,2022
BB00179,Personal Care,2979,88,262152,52430.4,Convenience Store,Medium,South,Karnataka,Bengaluru,Tier 1,14,18-25,2021
BB00180,Electronics,842,24,20208,3637.44,Hypermarket,Large,South,Telangana,Hyderabad,Tier 1,14,36-45,2022
BB00181,Grocery,3934,17,66878,5350.24,Supermarket,Medium,South,Tamil Nadu,Coimbatore,Tier 2,3,26-35,2022
BB00182,Grocery,1492,46,68632,5490.56,Supermarket,Medium,South,Tamil Nadu,Coimbatore,Tier 2,15,26-35,2021
BB00183,Personal Care,1517,11,16687,3337.4,Supermarket,Medium,West,Maharashtra,Pune,Tier 2,7,36-45,2022
BB00184,Electronics,4582,112,513184,92373.12,Convenience Store,Medium,West,Gujarat,Surat,Tier 2,6,18-25,2022
BB00185,Grocery,3030,119,360570,28845.6,Supermarket,Small,South,Telangana,Hyderabad,Tier 1,2,26-35,2024
BB00186,Grocery,2966,59,174994,13999.52,Hypermarket,Small,North,Haryana,Faridabad,Tier 3,3,26-35,2023
BB00187,Personal Care,4465,61,272365,54473.0,Supermarket,Large,East,Odisha,Cuttack,Tier 3,8,18-25,2021
BB00188,Personal Care,3080,44,135520,27104.0,Supermarket,Large,North,Haryana,Gurgaon,Tier 3,5,26-35,2020
BB00189,Home & Kitchen,3860,108,416880,50025.6,Supermarket,Small,South,Tamil Nadu,Coimbatore,Tier 2,1,26-35,2024
BB00190,Home & Kitchen,4583,35,160405,19248.6,Hypermarket,Medium,South,Tamil Nadu,Coimbatore,Tier 2,15,36-45,2023
BB00191,Home & Kitchen,4045,43,173935,20872.2,Hypermarket,Medium,East,West Bengal,Durgapur,Tier 3,4,26-35,2021
BB00192,Home & Kitchen,408,30,12240,1468.8,Hypermarket,Medium,West,Gujarat,Ahmedabad,Tier 2,5,26-35,2023
BB00193,Grocery,956,89,85084,6806.72,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,14,26-35,2020
BB00194,Home & Kitchen,293,11,3223,386.76,Convenience Store,Small,East,West Bengal,Durgapur,Tier 3,10,36-45,2021
BB00195,Grocery,585,72,42120,3369.6,Convenience Store,Small,East,West Bengal,Durgapur,Tier 3,2,18-25,2023
BB00196,Personal Care,2974,51,151674,30334.8,Convenience Store,Small,South,Karnataka,Bengaluru,Tier 1,2,46+,2021
BB00197,Electronics,2687,97,260639,46915.02,Hypermarket,Medium,East,Odisha,Bhubaneswar,Tier 3,7,18-25,2020
BB00198,Clothing,3091,99,306009,45901.35,Hypermarket,Small,East,West Bengal,Kolkata,Tier 1,1,46+,2023
BB00199,Clothing,3380,46,155480,23322.0,Convenience Store,Small,West,Gujarat,Surat,Tier 2,3,36-45,2024
BB00200,Grocery,2064,20,41280,3302.4,Convenience Store,Small,North,Punjab,Ludhiana,Tier 3,13,46+,2024
BB00201,Clothing,294,18,5292,793.8,Supermarket,Large,North,Punjab,Amritsar,Tier 3,11,46+,2020
BB00202,Home & Kitchen,1116,120,133920,16070.4,Supermarket,Large,South,Tamil Nadu,Coimbatore,Tier 2,2,36-45,2023
BB00203,Grocery,3744,30,112320,8985.6,Convenience Store,Small,South,Tamil Nadu,Coimbatore,Tier 2,2,36-45,2020
BB00204,Personal Care,1437,113,162381,32476.2,Hypermarket,Large,West,Gujarat,Ahmedabad,Tier 2,7,46+,2021
BB00205,Grocery,4525,4,18100,1448.0,Convenience Store,Large,North,Delhi,New Delhi,Tier 3,7,36-45,2024
BB00206,Electronics,4351,41,178391,32110.38,Supermarket,Medium,South,Karnataka,Mysuru,Tier 3,9,18-25,2023
BB00207,Grocery,268,59,15812,1264.96,Supermarket,Small,North,Punjab,Amritsar,Tier 3,11,36-45,2020
BB00208,Personal Care,1406,19,26714,5342.8,Hypermarket,Medium,North,Haryana,Faridabad,Tier 3,7,36-45,2021
BB00209,Electronics,2278,59,134402,24192.36,Hypermarket,Large,South,Tamil Nadu,Coimbatore,Tier 2,2,18-25,2023
BB00210,Clothing,3786,63,238518,35777.7,Hypermarket,Large,West,Gujarat,Ahmedabad,Tier 2,6,46+,2020
BB00211,Home & Kitchen,2788,57,158916,19069.92,Convenience Store,Small,South,Tamil Nadu,Chennai,Tier 1,6,46+,2021
BB00212,Personal Care,3453,106,366018,73203.6,Hypermarket,Small,North,Haryana,Faridabad,Tier 3,13,26-35,2021
BB00213,Personal Care,781,18,14058,2811.6,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,9,18-25,2024
BB00214,Electronics,862,24,20688,3723.84,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 3,6,46+,2020
BB00215,Home & Kitchen,1760,97,170720,20486.4,Supermarket,Large,West,Maharashtra,Nagpur,Tier 3,12,18-25,2024
BB00216,Home & Kitchen,687,106,72822,8738.64,Supermarket,Medium,West,Gujarat,Surat,Tier 2,13,46+,2020
BB00217,Home & Kitchen,862,63,54306,6516.72,Hypermarket,Large,South,Telangana,Hyderabad,Tier 1,10,46+,2024
BB00218,Home & Kitchen,3351,34,113934,13672.08,Supermarket,Small,East,West Bengal,Kolkata,Tier 1,2,46+,2020
BB00219,Personal Care,4046,64,258944,51788.8,Hypermarket,Small,South,Tamil Nadu,Coimbatore,Tier 2,5,46+,2021
BB00220,Personal Care,4073,120,488760,97752.0,Convenience Store,Large,West,Maharashtra,Nagpur,Tier 3,12,46+,2024
